"","playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","W","L","G.1","GS","CG","SHO","SV","IPouts","H.1","ER","HR.1","BB.1","SO.1","BAOpp","ERA","IBB.1","WP","HBP.1","BK","BFP","GF","R.1","SH.1","SF.1","GIDP.1","POS"
"343","fiersmi01",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,21,21,0,0,0,354,117,51,14,43,121,0.259,3.89,5,6,5,0,509,0,57,3,6,7,"P"
"344","fiersmi01",21,30,0,3,0,0,0,0,0,0,0,12,0,0,4,0,0,2,1,10,9,1,1,0,187,45,23,10,21,59,0.197,3.32,0,2,1,0,252,0,26,0,2,1,"P"
"345","fiersmi01",21,30,0,3,0,0,0,0,0,0,0,12,0,0,4,0,0,2,1,10,9,1,1,0,187,45,23,10,21,59,0.197,3.32,0,2,1,0,252,0,26,0,2,1,"P"
"346","fiersmi01",21,30,0,3,0,0,0,0,0,0,0,12,0,0,4,0,0,5,9,21,21,0,0,0,354,117,51,14,43,121,0.259,3.89,5,6,5,0,509,0,57,3,6,7,"P"
"347","fiersmi01",21,30,0,3,0,0,0,0,0,0,0,12,0,0,4,0,0,5,9,21,21,0,0,0,354,117,51,14,43,121,0.259,3.89,5,6,5,0,509,0,57,3,6,7,"P"
"359","rodrifr03",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,60,0,0,0,38,171,38,14,6,11,62,0.189,2.21,1,3,0,0,216,55,15,1,2,5,"P"
"361","boyerbl01",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,68,0,0,0,1,195,62,18,5,19,33,0.254,2.49,4,5,0,0,268,12,24,3,2,5,"P"
"365","pelfrmi01",30,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,11,30,30,0,0,0,494,198,78,11,45,86,0.304,4.26,1,5,12,0,714,0,86,3,3,29,"P"
"366","capuach01",22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,4,0,0,0,122,52,36,6,22,38,0.31,7.97,1,0,3,0,196,7,38,2,1,2,"P"
"371","warread01",43,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,43,17,0,0,1,394,114,48,10,39,104,0.236,3.29,1,7,7,0,534,5,51,2,2,14,"P"
"372","wilsoju10",74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,74,0,0,0,0,183,49,21,3,20,66,0.223,3.1,0,4,2,0,244,3,21,2,0,7,"P"
"374","geedi01",8,10,0,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,3,8,7,0,0,0,119,55,26,5,11,25,0.329,5.9,3,0,1,0,183,0,29,2,2,4,"P"
"378","niesejo01",33,52,5,9,1,0,0,4,0,0,5,18,0,0,3,0,0,9,10,33,29,0,0,0,530,192,81,20,55,113,0.28,4.13,2,2,9,0,770,1,93,16,4,17,"P"
"382","torreca01",59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,59,0,0,0,0,173,61,30,5,18,48,0.276,4.68,6,5,0,0,243,19,32,1,3,5,"P"
"383","abadfe01",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,62,0,0,0,0,143,45,22,11,19,45,0.251,4.15,3,4,1,0,205,17,23,3,3,1,"P"
"384","chaveje01",30,3,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,7,15,30,26,0,0,1,471,164,73,18,48,136,0.268,4.18,2,3,2,0,672,3,78,4,6,12,"P"
"385","clippty01",32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,37,0,0,0,17,116,25,12,3,21,38,0.175,2.79,1,1,2,0,167,30,12,0,1,0,"P"
"386","clippty01",32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,37,0,0,0,17,116,25,12,3,21,38,0.175,2.79,1,1,2,0,167,30,12,0,1,0,"P"
